date,area,city,issue_type,hour,is_weekend,is_holiday,previous_demand,demand
2025-01-01,North,Mysuru,WATER,12,0,0,7,12
2025-01-01,North,Mysuru,WATER,14,0,0,6,12
2025-01-01,North,Mysuru,WATER,16,0,0,15,14
2025-01-01,North,Mysuru,WATER,18,0,0,21,16
2025-01-01,North,Mysuru,WATER,20,0,0,20,22
2025-01-01,North,Mysuru,ELECTRICITY,8,0,0,13,10
2025-01-01,North,Mysuru,ELECTRICITY,10,0,0,14,16
2025-01-01,North,Mysuru,ELECTRICITY,12,0,0,14,17
2025-01-01,North,Mysuru,ELECTRICITY,14,0,0,10,5
2025-01-01,North,Mysuru,ELECTRICITY,16,0,0,12,14
2025-01-01,North,Mysuru,ELECTRICITY,18,0,0,14,17
2025-01-01,North,Mysuru,ELECTRICITY,20,0,0,15,15
2025-01-01,North,Mysuru,DRAINAGE,8,0,0,8,12
2025-01-01,North,Mysuru,DRAINAGE,10,0,0,18,19
2025-01-01,North,Mysuru,DRAINAGE,12,0,0,5,7
2025-01-01,North,Mysuru,DRAINAGE,14,0,0,8,12
2025-01-01,North,Mysuru,DRAINAGE,16,0,0,10,10
2025-01-01,North,Mysuru,DRAINAGE,18,0,0,11,14
2025-01-01,North,Mysuru,DRAINAGE,20,0,0,14,13
2025-01-01,North,Mysuru,SAFETY,8,0,0,3,2
2025-01-01,North,Mysuru,SAFETY,10,0,0,11,13
2025-01-01,North,Mysuru,SAFETY,12,0,0,10,15
2025-01-01,North,Mysuru,SAFETY,14,0,0,9,11
2025-01-01,North,Mysuru,SAFETY,16,0,0,9,14
2025-01-01,North,Mysuru,SAFETY,18,0,0,11,9
2025-01-01,North,Mysuru,SAFETY,20,0,0,6,10
2025-01-01,North,Mysuru,OTHER,8,0,0,9,13
2025-01-01,North,Mysuru,OTHER,10,0,0,6,11
2025-01-01,North,Mysuru,OTHER,12,0,0,9,5
2025-01-01,North,Mysuru,OTHER,14,0,0,13,13
2025-01-01,North,Mysuru,OTHER,16,0,0,8,12
2025-01-01,North,Mysuru,OTHER,18,0,0,15,14
2025-01-01,North,Mysuru,OTHER,20,0,0,8,12
2025-01-01,South,Mysuru,ROAD,8,0,0,15,10
2025-01-01,South,Mysuru,ROAD,10,0,0,22,22
2025-01-01,South,Mysuru,ROAD,12,0,0,14,20
2025-01-01,South,Mysuru,ROAD,14,0,0,8,15
2025-01-01,South,Mysuru,ROAD,16,0,0,12,19
2025-01-01,South,Mysuru,ROAD,18,0,0,19,19
2025-01-01,South,Mysuru,ROAD,20,0,0,12,17
2025-01-01,South,Mysuru,GARBAGE,8,0,0,12,19
2025-01-01,South,Mysuru,GARBAGE,10,0,0,22,24
2025-01-01,South,Mysuru,GARBAGE,12,0,0,15,19
2025-01-01,South,Mysuru,GARBAGE,14,0,0,20,23
2025-01-01,South,Mysuru,GARBAGE,16,0,0,10,13
2025-01-01,South,Mysuru,GARBAGE,18,0,0,20,19
2025-01-01,South,Mysuru,GARBAGE,20,0,0,20,21
2025-01-01,South,Mysuru,WATER,8,0,0,13,16
2025-01-01,South,Mysuru,WATER,10,0,0,8,14
2025-01-01,South,Mysuru,WATER,12,0,0,8,10
2025-01-01,South,Mysuru,WATER,14,0,0,15,12
2025-01-01,South,Mysuru,WATER,16,0,0,15,14
2025-01-01,South,Mysuru,WATER,18,0,0,12,13
2025-01-01,South,Mysuru,WATER,20,0,0,15,13
2025-01-01,South,Mysuru,ELECTRICITY,8,0,0,12,14
2025-01-01,South,Mysuru,ELECTRICITY,10,0,0,18,22
2025-01-01,South,Mysuru,ELECTRICITY,12,0,0,7,15
2025-01-01,South,Mysuru,ELECTRICITY,14,0,0,15,10
2025-01-01,South,Mysuru,ELECTRICITY,16,0,0,11,10
2025-01-01,South,Mysuru,ELECTRICITY,18,0,0,17,16
2025-01-01,South,Mysuru,ELECTRICITY,20,0,0,18,18
2025-01-01,South,Mysuru,DRAINAGE,8,0,0,15,10
2025-01-01,South,Mysuru,DRAINAGE,10,0,0,15,15
2025-01-01,South,Mysuru,DRAINAGE,12,0,0,10,7
2025-01-01,South,Mysuru,DRAINAGE,14,0,0,12,9
2025-01-01,South,Mysuru,DRAINAGE,16,0,0,9,7
2025-01-01,South,Mysuru,DRAINAGE,18,0,0,14,13
2025-01-01,South,Mysuru,DRAINAGE,20,0,0,13,12
2025-01-01,South,Mysuru,SAFETY,8,0,0,0,5
2025-01-01,South,Mysuru,SAFETY,10,0,0,10,16
2025-01-01,South,Mysuru,SAFETY,12,0,0,2,6
2025-01-01,South,Mysuru,SAFETY,14,0,0,10,7
2025-01-01,South,Mysuru,SAFETY,16,0,0,4,11
2025-01-01,South,Mysuru,SAFETY,18,0,0,16,17
2025-01-01,South,Mysuru,SAFETY,20,0,0,9,12
2025-01-01,South,Mysuru,OTHER,8,0,0,9,11
2025-01-01,South,Mysuru,OTHER,10,0,0,10,5
2025-01-01,South,Mysuru,OTHER,12,0,0,3,7
2025-01-01,South,Mysuru,OTHER,14,0,0,4,10
2025-01-01,South,Mysuru,OTHER,16,0,0,2,7
2025-01-01,South,Mysuru,OTHER,18,0,0,10,9
2025-01-01,South,Mysuru,OTHER,20,0,0,12,12
2025-01-01,East,Mysuru,ROAD,8,0,0,10,15
2025-01-01,East,Mysuru,ROAD,10,0,0,18,16
2025-01-01,East,Mysuru,ROAD,12,0,0,10,17
2025-01-01,East,Mysuru,ROAD,14,0,0,16,12
2025-01-01,East,Mysuru,ROAD,16,0,0,8,9
2025-01-01,East,Mysuru,ROAD,18,0,0,21,16
2025-01-01,East,Mysuru,ROAD,20,0,0,14,20
2025-01-01,East,Mysuru,GARBAGE,8,0,0,17,19
2025-01-01,East,Mysuru,GARBAGE,10,0,0,26,25
2025-01-01,East,Mysuru,GARBAGE,12,0,0,17,13
2025-01-01,East,Mysuru,GARBAGE,14,0,0,22,21
2025-01-01,East,Mysuru,GARBAGE,16,0,0,14,13
2025-01-01,East,Mysuru,GARBAGE,18,0,0,27,24
2025-01-01,East,Mysuru,GARBAGE,20,0,0,19,24
2025-01-01,East,Mysuru,WATER,8,0,0,9,16
2025-01-01,East,Mysuru,WATER,10,0,0,15,14
2025-01-01,East,Mysuru,WATER,12,0,0,12,15
2025-01-01,East,Mysuru,WATER,14,0,0,4,10
2025-01-01,East,Mysuru,WATER,16,0,0,9,11
2025-01-01,East,Mysuru,WATER,18,0,0,17,13
2025-01-01,East,Mysuru,WATER,20,0,0,14,17
2025-01-01,East,Mysuru,ELECTRICITY,8,0,0,5,10
2025-01-01,East,Mysuru,ELECTRICITY,10,0,0,11,18
2025-01-01,East,Mysuru,ELECTRICITY,12,0,0,9,9
2025-01-01,East,Mysuru,ELECTRICITY,14,0,0,5,4
2025-01-01,East,Mysuru,ELECTRICITY,16,0,0,11,14
2025-01-01,East,Mysuru,ELECTRICITY,18,0,0,9,12
2025-01-01,East,Mysuru,ELECTRICITY,20,0,0,9,14
2025-01-01,East,Mysuru,DRAINAGE,8,0,0,4,11
2025-01-01,East,Mysuru,DRAINAGE,10,0,0,18,22
2025-01-01,East,Mysuru,DRAINAGE,12,0,0,10,12
2025-01-01,East,Mysuru,DRAINAGE,14,0,0,5,14
2025-01-01,East,Mysuru,DRAINAGE,16,0,0,13,7
2025-01-01,East,Mysuru,DRAINAGE,18,0,0,13,13
2025-01-01,East,Mysuru,DRAINAGE,20,0,0,13,20
2025-01-01,East,Mysuru,SAFETY,8,0,0,7,8
2025-01-01,East,Mysuru,SAFETY,10,0,0,10,10
2025-01-01,East,Mysuru,SAFETY,12,0,0,5,10
2025-01-01,East,Mysuru,SAFETY,14,0,0,10,13
2025-01-01,East,Mysuru,SAFETY,16,0,0,10,12
2025-01-01,East,Mysuru,SAFETY,18,0,0,10,11
2025-01-01,East,Mysuru,SAFETY,20,0,0,12,14
2025-01-01,East,Mysuru,OTHER,8,0,0,7,7
2025-01-01,East,Mysuru,OTHER,10,0,0,15,16
2025-01-01,East,Mysuru,OTHER,12,0,0,4,6
2025-01-01,East,Mysuru,OTHER,14,0,0,7,9
2025-01-01,East,Mysuru,OTHER,16,0,0,7,2
2025-01-01,East,Mysuru,OTHER,18,0,0,4,5
2025-01-01,East,Mysuru,OTHER,20,0,0,9,14
2025-01-01,West,Mysuru,ROAD,8,0,0,16,9
2025-01-01,West,Mysuru,ROAD,10,0,0,16,22
2025-01-01,West,Mysuru,ROAD,12,0,0,17,12
2025-01-01,West,Mysuru,ROAD,14,0,0,14,16
2025-01-01,West,Mysuru,ROAD,16,0,0,15,11
2025-01-01,West,Mysuru,ROAD,18,0,0,19,16
2025-01-01,West,Mysuru,ROAD,20,0,0,16,20
2025-01-01,West,Mysuru,GARBAGE,8,0,0,15,19
2025-01-01,West,Mysuru,GARBAGE,10,0,0,22,25
2025-01-01,West,Mysuru,GARBAGE,12,0,0,13,10
2025-01-01,West,Mysuru,GARBAGE,14,0,0,15,16
2025-01-01,West,Mysuru,GARBAGE,16,0,0,19,15
2025-01-01,West,Mysuru,GARBAGE,18,0,0,17,22
2025-01-01,West,Mysuru,GARBAGE,20,0,0,16,15
2025-01-01,West,Mysuru,WATER,8,0,0,13,9
2025-01-01,West,Mysuru,WATER,10,0,0,20,22
2025-01-01,West,Mysuru,WATER,12,0,0,11,15
2025-01-01,West,Mysuru,WATER,14,0,0,13,10
2025-01-01,West,Mysuru,WATER,16,0,0,6,7
2025-01-01,West,Mysuru,WATER,18,0,0,9,13
2025-01-01,West,Mysuru,WATER,20,0,0,21,23
2025-01-01,West,Mysuru,ELECTRICITY,8,0,0,16,15
2025-01-01,West,Mysuru,ELECTRICITY,10,0,0,18,12
2025-01-01,West,Mysuru,ELECTRICITY,12,0,0,14,10
2025-01-01,West,Mysuru,ELECTRICITY,14,0,0,14,16
2025-01-01,West,Mysuru,ELECTRICITY,16,0,0,7,11
2025-01-01,West,Mysuru,ELECTRICITY,18,0,0,13,14
2025-01-01,West,Mysuru,ELECTRICITY,20,0,0,14,14
2025-01-01,West,Mysuru,DRAINAGE,8,0,0,8,9
2025-01-01,West,Mysuru,DRAINAGE,10,0,0,12,12
2025-01-01,West,Mysuru,DRAINAGE,12,0,0,15,12
2025-01-01,West,Mysuru,DRAINAGE,14,0,0,10,13
2025-01-01,West,Mysuru,DRAINAGE,16,0,0,13,14
2025-01-01,West,Mysuru,DRAINAGE,18,0,0,12,18
2025-01-01,West,Mysuru,DRAINAGE,20,0,0,12,7
2025-01-01,West,Mysuru,SAFETY,8,0,0,7,12
2025-01-01,West,Mysuru,SAFETY,10,0,0,15,16
2025-01-01,West,Mysuru,SAFETY,12,0,0,4,10
2025-01-01,West,Mysuru,SAFETY,14,0,0,4,2
2025-01-01,West,Mysuru,SAFETY,16,0,0,11,8
2025-01-01,West,Mysuru,SAFETY,18,0,0,10,13
2025-01-01,West,Mysuru,SAFETY,20,0,0,15,18
2025-01-01,West,Mysuru,OTHER,8,0,0,5,4
